User Name,Date of Review,Review Content,Rating,Overall Rating,Food Rating,Service Rating,Ambience Rating
M2Kjazz,"Dined on March 1, 2020",Everything was perfect!  The halibut and scallops were perfectly cooked. Our salads were imaginative and full of flavor and the butterscotch pudding is to die for! One of the best meals we’ve had in New Haven.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on March 1, 2020","Have been to breakfast/brunch and loved the food, so I was excited to try supper. Supper was alright, service was slow (as it was the last time I went in for breakfast). Bouillabaisse was good, but Shell & Bones has a bouillabaisse that’s a bit better. Kale salad with “sour” cherry vinaigrette was pretty sweet and the sweetness built with each bite. Definitely wouldn’t have ordered if I realized how sweet it was. Didn’t even look at the dessert menu because I was afraid if a kale salad was moderately sugary and sweet that an actual dessert would be unbearably saccharine.
Read more",3 stars,Overall 3,Food 3,Service 3,Ambience 5
SueU,"Dined on March 1, 2020","This is my must-go-to whenever we are in New Haven.  We have been there for lunch, brunch and dinner and love everything about it!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Sparky,"Dined on February 29, 2020",Great place for brunch. Visiting daughter at Yale. Nothing like this 40 years ago.,5 stars,Overall 5,Food 5,Service 4,Ambience 5
OpenTable Diner,"Dined on February 29, 2020",We love Maria! Shared a burger and kale salad- delicious!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
ConstanceC,"Dined on February 23, 2020",Our meals were cold and had to be sent back for new ones.,3 stars,Overall 3,Food 1,Service 4,Ambience 4
Jacqueline,"Dined on February 20, 2020",One of my favorite restaurants in New Haven. The food is always fresh and delicious.,4 stars,Overall 4,Food 4,Service 5,Ambience 5
Happytobehere,"Dined on February 19, 2020","The room and the bar area are very good  - adequate space between tables, large windows face  onto the street and noise level is low, so it’s good for quiet conversation.

The restaurant is not up to serving people on time.  We were there on Tuesday at 5:30 pm and we were the fourth table to be seated.   We ordered promptly and the waiter told us that dinner will take at least 30 minutes because one of us ordered a well done burger and that takes longer.  That was fine with us.  Our entrees finally showed up almost one hour later and we noticed that no one at the other tables had their entree yet - salads were out, as was a sandwich at one table, but not hot entrees.

I had scallops which were ok but the chef had a heavy hand with the salt, they were too salty.  My dining partner had a grass fed burger and did not like the taste of the meet.  The fries which came with the burger were also too salty.
Read more",3 stars,Overall 3,Food 2,Service 3,Ambience 3
Brynoe,"Dined on February 16, 2020","Food was absolutely delicious all tasted very fresh ( clams casino - fish stew - duck - Brussels- butter scotch pudding & pear cobbler) 
Service was a bit slow (food took a while) but we were not in a rush.  Arrived at 8:30 and left at 10:15  

Would definitely recommend
Read more",5 stars,Overall 5,Food 5,Service 4,Ambience 5
OpenTable Diner,"Dined on February 16, 2020","Food was unbelievably good, unfortunately the service was the opposite. Might have been an off night, but seemed to be a structural problem with how it is run.",2 stars,Overall 2,Food 5,Service 1,Ambience 5
OpenTable Diner,"Dined on February 15, 2020","Food was amazing better than what I was expecting ! We had for appetizers the chicken liver pate that was exquisite! The warm crap dip, and the octopus very well executed. The drinks were a little to the expensive side two drinks for 30 dollars ouch. But they were good. Than we share a bottle of cava Spanish sparking wine really good and the price tag only 45 . She had the scallops they were ok no much good flavors from the spaghetti squash I don’t think it goes well with the scallops oh well but my lamb ragú was amazing best thing I had in a while . 
The ambiance was not good at all we were celebrating valentine day and no decor no romantic music no free drink it could be nice little more romance in the air. 
Weitres was really nice she was very busy and try to enter the food as fast she could but we made a little conversation and she realized we were not in a hurry. I be back in another occasion good restaurant
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 4
MeltemS,"Dined on February 10, 2020",Perfect spot for business lunch. Good selection of food and great servuce,5 stars,Overall 5,Food 4,Service 5,Ambience 5
AndreaB,"Dined on February 9, 2020","I wouldn't refuse to go again, but the space is designed to be loud and it really is. I don't feel excited about yelling over a two foot space. My brunch companion loved his banana french toast and I had some. It was tasty. But my smoked salmon benedict was all cold except for the eggs. One of the eggs was poached perfectly, the other, the yolk was entirely cooked through. The hollandaise was too lemony, too yolky- fine, but a little different from what I expected, and again, cold. Not lukewarm. Cold. And I get that they're proud of their biscuits. I do. But a benedict doesn't belong on anything with a cake-like texture. It just crumbled and made the whole thing mealy, while the biscuit itself got soggy. Also, my companion ordered tea, was asked four different questions about how he would like it, and it never came.
Read more",3 stars,Overall 3,Food 4,Service 3,Ambience 2
KatharineK,"Dined on February 8, 2020",You can never go wrong at Heirloom!  Delicious food every time we’ve gone there.  Try the butterscotch pudding with marshmallow on top for dessert - it may be the best thing I’ve ever put in my mouth!,4 stars,Overall 4,Food 5,Service 4,Ambience 4
ISPEAKFORERIN,"Dined on February 8, 2020","The best duck I've been served (med-rare as requested), on Friday, February 7. 
Truly delicious and much appreciated!  Hats off to the chef.  (SEARED LIBERTY DUCK BREAST, Braised Leeks, Swiss Chard [was served kale, which I like better anyway], Turnips, Carrots, Sunchoke Puree & Lavender Honey Jus | gf).  

My love was not as excited about his burger - described as  ""OK"".  Patty was overcooked, but the fries were seriously perfection! (CT GRASS-FED BEEF BURGER, Grafton Cheddar, Horseradish Jam, Our Pickles, Shoestring Fries *Our 100% Grass-fed Local Beef Is Raised & Ground For Us By Our Friends At Four Mile River Farm In Old Lyme, Connecticut.)

We had a special appetizer of shishito peppers and rice balls with a horseradish dipping sauce that was a delicious combination and not too heavy (for fried rice balls, very light).  Although the bartender described it as ""kind of a reverse popper"", it was definitely up several levels from that and much more interesting for the palate.  Very tasty.  I wish there was a simple greens salad on the menu (healthy, light), which would have made a nice combo to start.  

We had IPAs at the bar, but very nice bartender also served us a complimentary gin drink with rosemary that was quite delicious. 

Would come here again for the food in a heartbeat.  Looking forward to trying the Bouillabaisse (Heirloom Fish Stew' Shrimp, Mussels & White Fish In Saffron Lobster Sherry-Bisque-Broth With Cilantro, Lime & Aioli).  MMmmm!!!  :)
Read more",4 stars,Overall 4,Food 5,Service 4,Ambience 3
EileenW,"Dined on February 8, 2020","Had dinner here before a concert at College Street theatre. Food was good, not great. Service was a little slow. We were there early on a Friday night. Good wine and beer selections.",4 stars,Overall 4,Food 4,Service 3,Ambience 4
MelissaK,"Dined on February 8, 2020","Delicious food, good service, and chef sent us an appetizer “on the house.” Can’t wait time go back",5 stars,Overall 5,Food 5,Service 4,Ambience 4
SBYan,"Dined on February 7, 2020","It was not a busy night, showed up on time for our reservation. Then it took 10 minutes to have someone come bring us water after we sat. Then 30 minutes for our cheese plate to come out and over an hour for our meals (couscous salad and steak). The waiter only checked in a couple times, mostly because I flagged him down. Then my medium steak came out literally bloody, I sent it back but you can’t re-cook a steak that was already cut into, so I ate what I could and  I wrapped up my leftovers and brought them home for my dogs, they didn’t mind rare, re-cooked meat. 

I had listed a special occasion on Open Table for my wife’s birthday and to have a birthday dessert but that never happened... they were gracious enough to take the steak off of the tab.
Read more",4 stars,Overall 4,Food 4,Service 1,Ambience 5
fairandbalanced,"Dined on February 1, 2020",Great brunch!  But had to wait 1 hour for our food.  And the  waitress barely acknowledged the problem.   Had to go to the manager to get our food??.  They offered one free dessert for our inconvenience after I had to ask.... Hardly a commensurate offer for the long wait!,3 stars,Overall 3,Food 4,Service 2,Ambience 4
OpenTable Diner,"Dined on January 26, 2020",Loved Heirloom and return often,5 stars,Overall 5,Food 5,Service 3,Ambience 5
Tennisgirl1,"Dined on January 25, 2020",Dine here often. Everything is usually fantastic.  The only complaint is I had the aged ny strip and it tasted gamey and of average quality at best. My friend had the same feelings about her steak. NY strip at a restaurant of the magnitude should be perfect in every way. I buy and grill strips I buy at the local market and it’s much better than tonight’s steak.,5 stars,Overall 5,Food 3,Service 5,Ambience 5
Gfdiner,"Dined on January 16, 2020",Awesome food. Truly enjoyed the GF Quinoa. All of the diners at my table enjoyed their meals,5 stars,Overall 5,Food 5,Service 5,Ambience 4
Sandy,"Dined on January 15, 2020",Excellent food and delightful server!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
AmyB,"Dined on January 13, 2020","As a table of 4 arriving at 5:30 pm, we expected efficient, professional wait service.  Even though we were among the first in the restaurant, it took our waiter 15 minutes to get us a drink and an hour to circle back to the table to take our dinner order.  We finally received our food at 7 pm by which point we had observed several other tables (much larger parties) receive their dinner orders.  Having been a wait person myself, I know the difference between being slammed and inattentive, poor service.  Even if the slow service was due to a back up in the kitchen, the waitress should have checked in with us to let us know that the kitchen was backed up (although not likely given we arrived for a 5:30 reservation).  The food was ok - not as good as I would have expected for farm-to table.  I had scallops which were way over-salted.
Read more",2 stars,Overall 2,Food 2,Service 1,Ambience 4
DeborahB,"Dined on January 1, 2020","We went New Years Eve and we had previously asked if menu would be the same...it was not...it was limited and the prices were higher. They changed recipe of grilled octopus app and not as good.
Scallop entry was just okay and they charged 30 for 4 scallops medium size.
Disappointing night...
Read more",3 stars,Overall 3,Food 3,Service 4,Ambience 4
SueU,"Dined on January 1, 2020","Heirloom is my most favorite restaurant!  The food, ambiance, servers, etc...a great package.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
LynetteA,"Dined on December 29, 2019","We always loved this restaurant but tonight it was off...The service was very good as usual but our friends were very disappointed with the duck entree. It was very tough and was sent back for another dinner. The scallops were good but the spaghetti squash was over cooked. The halibut looked great and is still a signature dish. Desserts were excellent and finished the meal. We will be back but hopefully the kitchen will be back on track...
Read more",3 stars,Overall 3,Food 3,Service 4,Ambience 4
AlCas,"Dined on December 28, 2019",Nicely prepared food comfortable ambiance and good service,4 stars,Overall 4,Food 3,Service 4,Ambience 4
OpenTable Diner,"Dined on December 22, 2019",Waitress very helpful. She knew the menu.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
BrendenW,"Dined on December 21, 2019","Took daughter for her 21st birthday brunch. Great atmosphere, friendly waiter, a memory she will cherish",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Throw2kill35,"Dined on December 16, 2019",Group of five for a great dinner! Nice atmosphere and wonderful food. Unfortunately they started to close while we were there and they hurried us at the end.,5 stars,Overall 5,Food 5,Service 4,Ambience 5
LawrenceL,"Dined on December 14, 2019",Elegant casual dining at an affordable price. Our brunch was enjoyable and delicious.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
YogaQueen,"Dined on December 14, 2019","Wait staff was fantastic, made sure we got to the theatre on time. Very helpful in suggesting options.",4 stars,Overall 4,Food 3,Service 5,Ambience 5
OpenTable Diner,"Dined on December 12, 2019",Always great food and atmosphere,5 stars,Overall 5,Food 5,Service 5,Ambience 5
PHF317,"Dined on December 7, 2019","Sort of a long wait after we ordered...it really makes a difference if the wait staff check in with you as you're waiting, no one did",4 stars,Overall 4,Food 4,Service 3,Ambience 3
Cpc1,"Dined on December 6, 2019","Very good food, all veggies were great, burger great too",4 stars,Overall 4,Food 4,Service 4,Ambience 4
OpenTable Diner,"Dined on November 30, 2019",Outstanding within all aspects. Will most certainly return.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
MichelleF,"Dined on November 29, 2019","We reserved at 3:00, showed up promptly and in our first encounter with our server, he actually looked at his watch and told us that the kitchen would be closing and we needed to get our orders in asap. He continued to rush us through our Thanksgiving meal and informed us at the end that he was sorry, but he had a celebration to get home to. Well, that was our family Thanksgiving celebration too. It was non-traditional this year and we were making the best of it. If you don't want people sitting down at a time, don't offer that time for reservations. Food was good, not fabulous. They forgot the cranberry sauce with our thanksgiving plates. This was anticipated as the highlight of our day and it turned into the opposite. We had more fun playing board games and sipping our coffees at Starbucks.
Read more",3 stars,Overall 3,Food 4,Service 2,Ambience 4
RobinaA,"Dined on November 29, 2019",The very best turkey dinner. The turkey was very moist. Incredible meal.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
KathyB,"Dined on November 29, 2019","We had Thanksgiving dinner at Heirloom in 2019. It was the most delicious Thanksgiving dinner I have ever eaten (and I’m old). Everything was delicious. Amazing even! Moist Turkey, fabulous mashed potatoes and great corn bread stuffing which is not my family tradition and I was sure I was going to hate it!
We are again without family around us in 2023 and we are so excited to have a reservation at Heirloom for that day (and being free from cooking!) so looking forward to it!
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
foodies4life,"Dined on November 28, 2019","We went for the Thanksgiving dinner and it was fabulous. Food was excellent. Loved the cornbread stuffing. Turkey was moist and juicy and the portions were huge (so leftovers for sure). The service could have been more prompt. Our waitress was friendly and polite but not very attentive to the table. We had to wait a long time to get a drink and to get the food and the place was not crowded so don't understand that. 
We would return again.
Read more",4 stars,Overall 4,Food 5,Service 3,Ambience 4
NApp,"Dined on November 25, 2019","Delicious food; competent prompt, and friendly service",5 stars,Overall 5,Food 5,Service 5,Ambience 4
Rich,"Dined on November 23, 2019","High-quality experience from beginning to end. Convenient valet parking available. Great vibe, wonderful food, buzz of family reunions, concerned service.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
RalphB,"Dined on November 20, 2019","Thank you, Heirloom, for doing your utmost to ruin our anniversary...  My husband and I were staying at The Study for our 28th anniversary and decided to have dinner downstairs at Heirloom.  Big mistake.  The evening started out promisingly, with decent martinis and a delicious chicken liver pâté.  And then we waited for our main course. And waited. And waited. And waited.  At least 30 minutes with no acknowledgement of the delay.  After the waitress had finally come by to tell us it would be “a couple more minutes,” and many many many more minutes had passed after that, with other servers offering to check, we finally got our meal... with no apology.  Our only offer of compensation was an espresso on the house, which we declined. At that point we only wanted to get out of there.  And we will most certainly never be back.
Read more",1 star,Overall 1,Food 3,Service 1,Ambience 4
OpenTable Diner,"Dined on November 10, 2019","I have brought multiple groups of people here- and every time I do, people love it! They always leave so pleased and saying they will be back.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Emily,"Dined on November 10, 2019",Delicious farm to table cuisine with imaginative touches. A spacious and relaxed dining environment with attentive service. Definitely recommended.,4 stars,Overall 4,Food 4,Service 4,Ambience 4
Gayle,"Dined on November 10, 2019",Food and ambiance were incredible,5 stars,Overall 5,Food 5,Service 5,Ambience 5
DandF,"Dined on November 10, 2019",We had delicious meals starting with smoked trout app and grilled squid. Caesar said was great. The salmon entree was excellent with mushrooms and a  parsnip puree and tarragon spice. Only negative was our waiter mixed up our take home leftovers with the table next to us and so we had to toss them when we checked the next day.,4 stars,Overall 4,Food 5,Service 4,Ambience 4
KristinZ,"Dined on November 9, 2019","Highly recommend Heirloom for brunch!  We ordered the donuts to start, followed by the canadian bacon benedict and mexican toast for entrees.  Atmosphere was warm and comfortable. Servers were attentive and meal was paced perfectly.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on November 8, 2019","The food was amazing.  We ordered based on suggestions made by the server, and it didn’t disappoint. I particularly appreciated the valet service with validated parking.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
DeborahC,"Dined on November 8, 2019","Restaurant Week menu was limited (of course) but excellent. Standout was the pumpkin panda cotta. And the service, including the complimentary valet parking made for a stellar dining experience",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Ybarden,"Dined on November 7, 2019","Went with a group of friends for restaurant week and we were a bit disappointed - the soup was bland, the pasta was served cold. Probably will not go back",4 stars,Overall 4,Food 3,Service 5,Ambience 4
Margaretanne88,"Dined on November 5, 2019","Stopped through town for a business lunch and this place was great. Good food, creative menu, good service, and great lighting in restaurant also easy for conversation -- not too loud or noisy. Highly recommend! Something for everyone.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Tigerstripes99,"Dined on November 5, 2019",Service and freshness of ingredients was top notch.  Creative and healthy menu options.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
SueandJim,"Dined on November 5, 2019","My friend and I met there for an early lunch on a slower day, despite it being NH Restaurant week. We both ordered Tuna Melt Sandwiches- she with a side of fries and me a side salad. Strangely, my sandwich and salad arrived along with her french fries but NO sandwich for her. Hmmmm? A bus boy delivered the food, and our waitress was not around. She finally checked in about half way through my sandwich and promised to ask in the kitchen, and acted like this wasn't a problem. About 15 minutes later, her sandwich arrived. No apologies, just an extra side salad, which my friend didn't really want t this point. I have to say, the sandwiches were huge, but not really a traditional grilled melt. The cheese was melted, but it was so thick it was really messy and the tuna was cold. I ate mine with a fork. The salad was drenched in a tart lemony vinaigrette dressing. I have dined there before and it was good but they were off their game this time. With so many great restaurants in NH, I don't know if I'd return.
Read more",2 stars,Overall 2,Food 2,Service 1,Ambience 4
JayT,"Dined on November 3, 2019",Nice room! Attentive staff. Good food.  Very loud.,5 stars,Overall 5,Food 4,Service 4,Ambience 4
jerseyjo,"Dined on November 3, 2019",The brunch was delicious with more than ample portions. The only downside was that it took over an hour to be served on a busy Sunday afternoon. The noise level is on the high side which gives it a good vibe. I love going there,4 stars,Overall 4,Food 5,Service 4,Ambience 4
SharonB,"Dined on November 3, 2019","Our wait person was a lovely girl, very helpful but we felt that the service was very slow. The restaurant was crowded but we noticed people that came after us were served and paid their bill alot faster. We will be back",4 stars,Overall 4,Food 5,Service 3,Ambience 3
Raymondo,"Dined on November 3, 2019",Heirloom offers unpretentious fine dining in an elegant setting. From arrival to departure we were treated warmly and efficiently. We had the Halibut and Rib Eye- both were delicious! This was our first time but won’t be our last!!!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Nancy,"Dined on October 30, 2019",The food and service were excellent.  We were happy to have a table in the side room as the main room was very noisy.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
JohnR,"Dined on October 26, 2019","Saturday brunch menu is a perfect selection of dishes to suite a broad variety of tastes. All recognizable dishes that rise high above the ordinary with culinary expertise, quality ingredients and creativity. Great staff round out the ideal weekend brunch experience.",5 stars,Overall 5,Food 5,Service 5,Ambience 4
Mactor17,"Dined on October 26, 2019",The food was outstanding.   One of the best salads I ever had.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
JerryS,"Dined on October 21, 2019","Sunday evening, so not crowded. The food was great and the service was as well. The baked octopus starter was killer and the main courses (hangar steak and lamb ragout) were superb. Free valet parking on a rainy evening was very welcome. A definite return trip locale.",5 stars,Overall 5,Food 5,Service 5,Ambience 4
OpenTable Diner,"Dined on October 19, 2019",Food came an hour and a half late,1 star,Overall 1,Food 4,Service 1,Ambience 3
CLHM,"Dined on October 18, 2019","Excellent cuisine, although we wished that we had asked about portion sizes.  We would have ordered fewer courses.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
JenniferWJ,"Dined on October 16, 2019","I absolutely love Heirloom but this visit was horrible.  My food was cold and didn't taste as good as usual. My husband said his food didn't taste very good either.  He selected Heirloom for his 50th birthday dinner and was underwhelmed.  Please check on the quality of your food prior to it arriving at the table.  Please also have enough servers on staff so that I can customers can recieve great service.
Read more",2 stars,Overall 2,Food 1,Service 2,Ambience 4
JohnB,"Dined on October 13, 2019",We had our usual good food and excellent service by Alex. They give special attention to food allergies and we are very grateful.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
bChase,"Dined on October 12, 2019","A beautiful, classy restaurant with a great menu.  The kale salad is incredible, as well as the scallops.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Diner,"Dined on October 8, 2019","Very unappealing food that’s clearly trying too hard to be innovative. Gnocchi were hard lumps with odd, unpleasant seasonings. Burger ordered medium arrived solid red throughout. Will not return, even though the desserts are delicious.",2 stars,Overall 2,Food 1,Service 4,Ambience 4
OpenTable Diner,"Dined on October 7, 2019","The location and ambience are great, but the service is always so slow. It looks a full 90 minutes to get lunch for 4 people, and that was only because I started to ask for the server to speed things up. We didn't get our food until a full hour after we arrived.  It was also awkward to have to decide the tip amount with the server looking right over my shoulder.",3 stars,Overall 3,Food 3,Service 2,Ambience 4
MLOOG,"Dined on October 6, 2019",Great brunch!!,5 stars,Overall 5,Food 5,Service 4,Ambience 5
Kris,"Dined on October 5, 2019",All our food was delicious but the desserts were outstanding. I would go back just to try the rest of their dessert menu. I also loved the note from the chef.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Lori,"Dined on October 3, 2019","Roasted tomato soup was tasty but salty.
Wild (?) arugula salad was very over-dressed!
Excellent server.",4 stars,Overall 4,Food 3,Service 4,Ambience 3
Stefanieshep,"Dined on September 29, 2019",Food was excellent but I think the kitchen may have been backed up because we waited a long time for our food to arrive.  The servers were attentive so I can only think that maybe the kitchen was short staffed that night.,4 stars,Overall 4,Food 5,Service 5,Ambience 5
JoyceG,"Dined on September 29, 2019","We had the most fantastic anniversary dinner at Heirloom this past Saturday. Every choice we made exceeded our expectations for food, service/recommendations/extra attention with wine by the glass selection even and ambiance. Our server Andre (gold wire frame glasses) was so attentive and accommodating, especially with all the great food choices and my being 9 months pregnant. Bravo! We’ll be back for another meal soon.
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on September 28, 2019","Ordered egg Benedict and was really poorly presented. The altered “muffin” was weird, not to mention the sour-ish hollandaise
Also ridiculously I waited for 30 minutes for this dish to come
Oysters were delicious
Read more",1 star,Overall 1,Food 2,Service 2,Ambience 4
RichardL,"Dined on September 25, 2019",Great food as always. Little pricey but the quality of the food is worth it,5 stars,Overall 5,Food 5,Service 5,Ambience 5
mkwoods,"Dined on September 23, 2019","An excellent restaurant, centrally located.  The food, service, and ambiance were very good and I would definitely recommend Heirloom to a friend.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Jenny,"Dined on September 23, 2019","The menu was fabulous, but I thought the food quality could have been better.",4 stars,Overall 4,Food 4,Service 5,Ambience 5
maureenh,"Dined on September 15, 2019","We ate at Heirloom Saturday night. It is a beautiful looking restaurant  great ambience, attentive servers, and good food. The only issue was it took a very long time to get our food.  I don’t know if there were kitchen issues that night but we were there for over 2 hours and weren’t drinking.  Our orders were pretty simple. Yet the food took forever, to the point where the server acknowledged the fact and they offered us free dessert which we accepted and then regretted b/c then the dessert took over 20 mins to come out! 
So I’m not sure how to rate Heirloom.  Food was good (when we got it), servers were great, ambience also great.  So if you don’t mind waiting for your food this is a wonderful place. Reasonable prices, good food.  Slow kitchen
Read more",3 stars,Overall 3,Food 5,Service 5,Ambience 4
KarenO,"Dined on September 15, 2019",The menu was very creative with lots of local food. Our waiter was patient and let us linger over our meal. Presentation was outstanding. Loved the place!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
JulieP,"Dined on September 14, 2019",Food was very good. Will definitely be back. Lovely place.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Foodwood,"Dined on September 10, 2019",Service and  food very good. I did ask for dressing on the side but did not send the food back when it came with dressing already on it.,4 stars,Overall 4,Food 4,Service 5,Ambience 4
CatherineA,"Dined on September 9, 2019",Great food and exemplary view!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
AndrewF,"Dined on September 6, 2019","Great menu, good wine list.  Lunch was great, but...$3 for a 10 oz bottle of Coke and no refills??? Also the place was not busy, and service was really slow.",4 stars,Overall 4,Food 4,Service 3,Ambience 5
LandArchitect,"Dined on September 5, 2019","We went for a birthday celebration. The restaurant was busy, but definitely not slammed. Several tables where open, and there seemed to be enough staff. Although our server was very friendly, she was hard to find when we needed her. We ordered drinks and apps. We wanted to wait till the apps arrived , then order dinner. But the apps took so long the waitress came several times to take our order. 
The cheese sampler was very good with a wonderful honey comb on the side, and the smoked trout amazing. However the smoked trout was a good sized serving, but it was served with three slices of bread- weird. I guess we could have made sandwiches!
Dinner took about 30 minutes plus to arrive after that. The Shrimp dish pasta was extremely undercooked. Thought the shrimp were good I was told, both who ordered it only ate the shrimp. The scallops were superb. The gnocchi was very good, though there was a very faint taste of flour. 

As the whole meal took such a long time we decided against the dessert.

The concept is great and the potential there- but it was just so off I will not go again.
Read more",2 stars,Overall 2,Food 2,Service 1,Ambience 1
Lbt54thst,"Dined on September 1, 2019","Great menu, friendly service and not too loud. Enjoyed our brunch here.",4 stars,Overall 4,Food 5,Service 5,Ambience 4
Elisa,"Dined on September 1, 2019","Thank you for such a great dining experience. Every thing was fantastic, from the food to the service to the ambiance. From the bread to the caprese salad to the gnocci and chocolate cake... it was ALL so good!! 😍 The birthday champagne was an unexpected, fun, delicious and appreciated touch! 🥂 Thank you for everything--we WILL be back! 😋🍅",5 stars,Overall 5,Food 5,Service 5,Ambience 5
GLVIII,"Dined on September 1, 2019","We have been going to Heirloom for the past five years. Every time we go I am impressed. Great food, great wine, and I love the oysters.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
JesseM,"Dined on August 30, 2019",One of New Haven’s better restaurants and vibe.,4 stars,Overall 4,Food 4,Service 5,Ambience 5
greatfood,"Dined on August 28, 2019",Food and service were great.  The space is lovely for a leisurely lunch.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
AngelinaL,"Dined on August 25, 2019","One of our favorite places! Food, service, and ambiance are always on point. We look forward to coming in to have a great meal for any occasion and to see the friendly staff.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
SSKR,"Dined on August 25, 2019","It’s always delicious,lovely looking and everyone is more than accommodating.  Just a pleasure to keep coming back to.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Coachinetto,"Dined on August 19, 2019","Everything was perfect. I personally would prefer the music to be more discrete, or no music at all. The food was original, with delicious and unexpected combinations of flavors. We certainly will return soon!",5 stars,Overall 5,Food 5,Service 5,Ambience 4
mrghni,"Dined on August 18, 2019",Great brunch spot!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
DanielA,"Dined on August 18, 2019","Cool spot and atmosphere. foods good, but a little pricey. However,  they do have decent bottles of wine for $30/40.",3 stars,Overall 3,Food 4,Service 4,Ambience 4
Ellen,"Dined on August 18, 2019","The ambiance, service, and food were all of a superior quality. One of the best dining experiences I’ve had in a while.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
ChrisC,"Dined on August 18, 2019",Excellent- great meal with wonderful service from Alex and the team - spot on !!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
LisaR,"Dined on August 11, 2019",The food was a bit salty. And 2 people in my party ordered hamburgers medium and medium well. They both came out rare. Service and staff were excellent.,4 stars,Overall 4,Food 3,Service 5,Ambience 5
OpenTable Diner,"Dined on August 10, 2019",We were celebrating a graduation. The food was excellent. The beverages were tasty using fresh fruits. “Not a bad bite of food on the table.”  Very enjoyable brunch!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on August 5, 2019",Food was not fresh. Old octopus real fishy. Place was empty on a Sunday now we know why.,2 stars,Overall 2,Food 1,Service 3,Ambience 4
CTfoodlover,"Dined on August 2, 2019","This restaurant is amazing.  We have been to Heirloom a number of times and have consistently enjoyed a lovely dinner with delicious food and excellent service.  It is located in a delightful hotel in New Haven, CT called The Study.  If you are staying at the hotel, Heirloom is on the ground floor.  The breakfast at Heirloom is just as fabulous as the dinner.  I highly recommend Heirloom if you are looking for a restaurant with great ambiance, excellent service and a talented chef!
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
MarshallG,"Dined on July 28, 2019","the food was fresh, beautifully prepared, seasoned and cooked perfectly. Selection was very good and the food and wine were all reasonably priced given the quality and ambience of the restaurant. We were accommodated in our request to have a quiet location and the server was attentive, personable and polite. She made excellent recommendations regarding food choices.
Read more",5 stars,Overall 5,Food 5,Service 4,Ambience 4
RachelS,"Dined on July 21, 2019","Wonderful menu, cool atmosphere, great staff. We spent several hours reminiscing with old college friends and no one pressured us to leave. Outstanding experience!",5 stars,Overall 5,Food 5,Service 5,Ambience 5
FineFoodLover,"Dined on July 20, 2019","The people at the front entrance were very accommodating.  They have valet service and got someone to take care of us right away.  They provided us complimentary champagne for our 39th anniversary which was extremely thoughtful and reserved a special table for us.  The waiter was very attentive and helpful.  Their menu is very interesting and offers wonderful combinations.  The appetizers were very flavorful.  I had salmon which was cooked perfectly and had a great combination of vegetables and rice.  The salmon  was a little on the bland side though.  My husband had steak.  He was a bit disappointed because it was fatty but he is very picky.  Not all places specialize in steaks so I feel based on past reviews Heirloom is definitely worth trying.  I wouldn't order the steak though.
Read more",4 stars,Overall 4,Food 4,Service 5,Ambience 4
